Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
214244253,2020.11.25 17:26:06,buy,0.20,gbpusd,1.33639,0.00000,0.00000,2020.11.25 17:47:36,1.33847,-1.40,0.00,0.00,41.60
214202465,2020.11.25 15:17:41,buy,0.20,gbpusd,1.33389,0.00000,0.00000,2020.11.25 17:47:35,1.33846,-1.40,0.00,0.00,91.40
214197210,2020.11.25 14:57:45,buy,0.20,gbpusd,1.33502,0.00000,0.00000,2020.11.25 17:47:35,1.33846,-1.40,0.00,0.00,68.80
214193782,2020.11.25 14:41:59,buy,0.20,gbpusd,1.33470,0.00000,0.00000,2020.11.25 17:47:34,1.33845,-1.40,0.00,0.00,75.00
213974063,2020.11.24 17:21:34,buy,0.20,gbpusd,1.33196,0.00000,0.00000,2020.11.24 18:00:35,1.33569,-1.40,0.00,0.00,74.60
213883955,2020.11.24 13:00:24,buy,0.20,gbpusd,1.33601,0.00000,0.00000,2020.11.25 17:47:34,1.33847,-1.40,0.00,-0.96,49.20
213743247,2020.11.24 03:02:01,buy,0.20,gbpusd,1.33301,0.00000,0.00000,2020.11.24 18:00:36,1.33572,-1.40,0.00,0.00,54.20
213665898,2020.11.23 19:16:41,buy,0.20,gbpusd,1.33024,0.00000,0.00000,2020.11.24 17:13:21,1.33204,-1.40,0.00,-0.96,36.00
213663322,2020.11.23 19:04:02,buy,0.20,gbpusd,1.32960,0.00000,0.00000,2020.11.24 17:13:23,1.33204,-1.40,0.00,-0.96,48.80
213564762,2020.11.23 16:04:26,buy,0.20,gbpusd,1.33938,0.00000,0.00000,2020.11.25 17:47:34,1.33842,-1.40,0.00,-1.92,-19.20
213562040,2020.11.23 15:57:32,buy,0.20,gbpusd,1.33900,0.00000,0.00000,2020.11.25 17:47:33,1.33847,-1.40,0.00,-1.92,-10.60
213553376,2020.11.23 15:32:25,buy,0.20,gbpusd,1.33836,0.00000,0.00000,2020.11.25 17:47:32,1.33850,-1.40,0.00,-1.92,2.80
213552135,2020.11.23 15:27:00,buy,0.20,gbpusd,1.33875,0.00000,0.00000,2020.11.25 17:47:32,1.33850,-1.40,0.00,-1.92,-5.00
213552115,2020.11.23 15:26:52,buy,0.20,gbpusd,1.33876,0.00000,0.00000,2020.11.25 17:47:31,1.33850,-1.40,0.00,-1.92,-5.20
213549764,2020.11.23 15:17:30,buy,0.20,gbpusd,1.33897,0.00000,0.00000,2020.11.25 17:47:30,1.33851,-1.40,0.00,-1.92,-9.20
213549738,2020.11.23 15:17:21,buy,0.20,gbpusd,1.33903,0.00000,0.00000,2020.11.25 17:47:29,1.33852,-1.40,0.00,-1.92,-10.20
213542968,2020.11.23 14:54:34,sell,0.20,gbpusd,1.33880,0.00000,0.00000,2020.11.23 15:15:03,1.33904,-1.40,0.00,0.00,-4.80
213537301,2020.11.23 14:34:44,sell,0.20,gbpusd,1.33822,0.00000,0.00000,2020.11.23 15:15:05,1.33904,-1.40,0.00,0.00,-16.40
213536489,2020.11.23 14:31:38,buy,0.20,gbpusd,1.33835,0.00000,0.00000,2020.11.23 14:34:38,1.33815,-1.40,0.00,0.00,-4.00
213535921,2020.11.23 14:30:16,buy,0.20,gbpusd,1.33796,0.00000,0.00000,2020.11.23 14:34:34,1.33802,-1.40,0.00,0.00,1.20
213532912,2020.11.23 14:19:51,buy,0.20,gbpusd,1.33741,0.00000,0.00000,2020.11.23 14:34:36,1.33806,-1.40,0.00,0.00,13.00
213510164,2020.11.23 13:09:32,sell,0.20,gbpusd,1.33620,0.00000,0.00000,2020.11.23 15:15:07,1.33904,-1.40,0.00,0.00,-56.80
213509970,2020.11.23 13:08:35,sell,0.20,gbpusd,1.33628,0.00000,0.00000,2020.11.23 15:16:06,1.33902,-1.40,0.00,0.00,-54.80
213326886,2020.11.20 17:49:29,sell,0.20,gbpusd,1.32837,0.00000,0.00000,2020.11.23 15:57:43,1.33906,-1.40,0.00,-0.40,-213.80
213324219,2020.11.20 17:40:16,buy,0.20,gbpusd,1.32902,0.00000,0.00000,2020.11.23 01:58:07,1.33044,-1.40,0.00,-0.96,28.40
213255645,2020.11.20 11:12:06,buy,0.20,gbpusd,1.32710,0.00000,0.00000,2020.11.20 17:30:21,1.32943,-1.40,0.00,0.00,46.60
213176459,2020.11.20 01:10:05,buy,0.20,gbpusd,1.32500,0.00000,0.00000,2020.11.20 17:30:19,1.32942,-1.40,0.00,0.00,88.40
213171497,2020.11.20 00:19:40,buy,0.20,gbpusd,1.32566,0.00000,0.00000,2020.11.20 17:30:18,1.32943,-1.40,0.00,0.00,75.40
213171441,2020.11.20 00:19:03,buy,0.20,gbpusd,1.32629,0.00000,0.00000,2020.11.20 17:30:17,1.32943,-1.40,0.00,0.00,62.80
213159436,2020.11.19 22:45:46,buy,0.20,gbpusd,1.32744,0.00000,0.00000,2020.11.20 17:30:16,1.32943,-1.40,0.00,-0.96,39.80
213158869,2020.11.19 22:44:35,buy,0.20,gbpusd,1.32736,0.00000,0.00000,2020.11.20 17:30:15,1.32938,-1.40,0.00,-0.96,40.40
213154926,2020.11.19 22:19:42,buy,0.20,gbpusd,1.32572,0.00000,0.00000,2020.11.19 22:26:15,1.32567,-1.40,0.00,0.00,-1.00
213154679,2020.11.19 22:17:06,buy,0.20,gbpusd,1.32548,0.00000,0.00000,2020.11.19 22:26:14,1.32570,-1.40,0.00,0.00,4.40
213092789,2020.11.19 16:48:30,buy,0.20,gbpusd,1.32088,0.00000,0.00000,2020.11.19 22:14:51,1.32570,-1.40,0.00,0.00,96.40
213065584,2020.11.19 15:15:29,buy,0.20,gbpusd,1.32360,0.00000,0.00000,2020.11.19 22:14:50,1.32570,-1.40,0.00,0.00,42.00
213063298,2020.11.19 15:01:54,buy,0.20,gbpusd,1.32274,0.00000,0.00000,2020.11.19 22:14:49,1.32570,-1.40,0.00,0.00,59.20
213046387,2020.11.19 13:47:12,buy,0.20,gbpusd,1.32590,0.00000,0.00000,2020.11.19 22:14:47,1.32570,-1.40,0.00,0.00,-4.00
213044060,2020.11.19 13:41:08,buy,0.20,gbpusd,1.32443,0.00000,0.00000,2020.11.19 22:14:45,1.32570,-1.40,0.00,0.00,25.40
213042907,2020.11.19 13:33:17,buy,0.10,gbpusd,1.32412,0.00000,0.00000,2020.11.19 22:14:44,1.32570,-0.70,0.00,0.00,15.80
213042886,2020.11.19 13:33:13,buy,0.10,gbpusd,1.32426,0.00000,0.00000,2020.11.19 22:14:43,1.32569,-0.70,0.00,0.00,14.30
213041741,2020.11.19 13:27:10,buy,0.10,gbpusd,1.32339,0.00000,0.00000,2020.11.19 22:14:42,1.32570,-0.70,0.00,0.00,23.10
211934988,2020.11.13 02:00:16,buy,0.10,gbpusd,1.31210,0.00000,0.00000,2020.11.13 12:04:09,1.31796,-0.70,0.00,0.00,58.60
211913947,2020.11.12 21:38:50,sell,0.10,gbpusd,1.31127,0.00000,0.00000,2020.11.12 22:04:58,1.31114,-0.70,0.00,0.00,1.30
211869667,2020.11.12 17:57:30,buy,0.10,gbpusd,1.31276,0.00000,0.00000,2020.11.13 12:04:06,1.31794,-0.70,0.00,-0.47,51.80
211858784,2020.11.12 17:13:04,buy,0.10,gbpusd,1.31583,0.00000,0.00000,2020.11.13 12:04:07,1.31796,-0.70,0.00,-0.47,21.30
211845181,2020.11.12 16:16:35,buy,0.10,gbpusd,1.31702,0.00000,0.00000,2020.11.13 12:04:06,1.31790,-0.70,0.00,-0.47,8.80
211830583,2020.11.12 15:16:41,sell,0.10,gbpusd,1.31367,0.00000,0.00000,2020.11.12 15:22:06,1.31385,-0.70,0.00,0.00,-1.80
211820758,2020.11.12 14:22:38,sell,0.10,gbpusd,1.31450,0.00000,0.00000,2020.11.12 14:53:28,1.31410,-0.70,0.00,0.00,4.00
211793605,2020.11.12 11:41:48,buy,0.10,gbpusd,1.31854,0.00000,0.00000,2020.11.13 12:04:02,1.31786,-0.70,0.00,-0.47,-6.80
211789617,2020.11.12 11:28:55,sell,0.10,gbpusd,1.31698,0.00000,0.00000,2020.11.12 15:24:06,1.31398,-0.70,0.00,0.00,30.00
211694288,2020.11.11 19:07:49,buy,0.10,gbpusd,1.32034,0.00000,0.00000,2020.11.13 12:03:59,1.31794,-0.70,0.00,-1.39,-24.00
211659314,2020.11.11 15:19:00,sell,0.10,gbpusd,1.32316,0.00000,0.00000,2020.11.11 16:11:01,1.32403,-0.70,0.00,0.00,-8.70
211618702,2020.11.11 11:42:10,sell,0.10,gbpusd,1.32427,0.00000,0.00000,2020.11.11 16:11:00,1.32404,-0.70,0.00,0.00,2.30
211618598,2020.11.11 11:42:02,sell,0.10,gbpusd,1.32454,0.00000,0.00000,2020.11.11 16:10:59,1.32408,-0.70,0.00,0.00,4.60
211616979,2020.11.11 11:39:04,sell,0.10,gbpusd,1.32570,0.00000,0.00000,2020.11.11 16:10:58,1.32408,-0.70,0.00,0.00,16.20
211616821,2020.11.11 11:38:52,sell,0.10,gbpusd,1.32610,0.00000,0.00000,2020.11.11 16:10:58,1.32408,-0.70,0.00,0.00,20.20
211611939,2020.11.11 11:24:05,buy,0.10,gbpusd,1.32937,0.00000,0.00000,2020.11.11 14:33:37,1.32390,-0.70,0.00,0.00,-54.70
211607826,2020.11.11 10:56:56,buy,0.10,gbpusd,1.32820,0.00000,0.00000,2020.11.11 14:20:55,1.32532,-0.70,0.00,0.00,-28.80
211535252,2020.11.10 21:48:07,buy,0.10,gbpusd,1.32552,0.00000,0.00000,2020.11.11 11:38:47,1.32616,-0.70,0.00,-0.31,6.40
211534989,2020.11.10 21:44:13,balance,Demo deposit,,,,,,,,,,10 000.00
